Numero,coordo_t,coordo_n,abs,Beta,long,0deg,4deg,7deg,10deg,13deg,16deg
0,0,0,0,1.5708,0.004,138,107,50,-51,-40,30
1,1,4,0.010526,1.2278,0.00371652,85.6126362,6.6368399,-76.832565,-202.096186,-161.318106,-30.6590528
2,2.5,7,0.019088,1.0304,0.00291548,43,-75,-180,-325,-260,-80
3,4,9,0.025471,0.838,0.00336341,-30,-165,-280,-420,-310,-70
4,7,12,0.036301,0.7854,0.00353553,-92,-225,-320,-431,-290,-60
5,9,14,0.043522,0.5281,0.00347311,-104,-210,-282,-389,-300,-180
6,13,15.5,0.054428,0.2337,0.01079352,-95.7042108,-189.655565,-254.347369,-351.273911,-280.248121,-176.049624
7,30,19,0.098737,0.1739,0.0187833,-62,-107,-142,-198,-200,-160
8,50,22,0.15037,0.1244,0.02015564,-58.731659,-97.6977986,-127.669582,-173.361737,-177.373024,-150.697799
9,70,24,0.20168,0.0997,0.02009975,-55.4837637,-88.453789,-113.42881,-148.877603,-154.887595,-141.453789
10,90,26,0.25299,0.0749,0.02005617,-52.2358684,-79.2097793,-99.1880383,-124.393469,-132.402166,-132.209779
11,110,27,0.30411,0.025,0.02000625,-49,-70,-85,-100,-110,-123
12,130,27,0.35517,0,0.02,-46.501468,-65.002936,-77.504404,-90.005872,-102.504404,-112.256312
13,150,27,0.40623,6.2582,0.02000625,-44.002936,-60.005872,-70.008808,-80.011744,-95.008808,-101.512625
14,170,26,0.45735,6.2332,0.02002498,-41.501468,-55.002936,-62.504404,-70.005872,-87.504404,-90.7563124
15,190,25,0.50847,6.2332,0.02002498,-39,-50,-55,-60,-80,-80
16,210,24,0.55959,6.2332,0.02002498,-36.6666667,-45.6666667,-49.3333333,-52.6666667,-66.6666667,-78.3333333
17,230,23,0.61071,6.2332,0.02002498,-34.3333333,-41.3333333,-43.6666667,-45.3333333,-53.3333333,-76.6666667
18,250,22,0.66183,6.2332,0.02002498,-32,-37,-38,-38,-40,-75
19,270,21,0.71295,6.2064,0.01955761,-22.386137,-27.5578131,-29.0728415,-30.6179266,-36.5664775,-71.5664775
20,289,19,0.76173,6.1661,0.01711724,-13.2123451,-18.5478389,-20.5543204,-23.573765,-33.2901232,-68.2901232
21,304,17,0.80036,6.1764,0.01408013,-5.94740907,-11.4126339,-13.8083084,-17.995332,-30.6955032,-65.6955032
22,317,16,0.83364,6.1413,0.01414214,0.31138127,-5.26560768,-7.99657454,-13.1894751,-28.460221,-63.460221
23,332,13,0.87269,6.111,0.01167262,7.65530443,1.94717399,-1.17721732,-7.55039124,-25.8373913,-60.8373913
24,340,12,0.89328,6.0978,0.00813941,11.5275548,5.75027706,2.41844377,-4.57705612,-24.4544447,-59.4544447
25,348,10,0.91433,6.0564,0.00667083,15.4863149,9.63834503,6.0944353,-1.53729388,-23.0406018,-58.0406018
26,353,9,0.92734,5.9971,0.00886002,17.9330356,12.0413742,8.36639017,0.34143802,-22.166773,-57.166773
27,365,5,0.9596,5.96,0.01423025,24,18,14,5,-20,-55
0,0,0,0,1.57,0.004,138,107,50,-51,-40,30
-1,2,-4,0.011468,2.0899,0.00403113,129,140,121,64,70,70
-2,4,-7,0.020713,2.0701,0.00313249,78,130,140,123,110,120
-3,5,-9.5,0.027618,2.3562,0.00282843,12,93,127,137,130,135
-4,8,-11,0.036219,2.6779,0.00391312,-18.0014949,63.8556907,104.284582,125.856588,121.428144,128.571108
-5,12,-13,0.047686,2.6779,0.00447214,-58,25,74,111,110,120
-6,16,-15,0.059154,2.8966,0.01030776,-55,18,62,100,105,105
-7,32,-18,0.1009,2.9764,0.01824829,-51.8781702,5.51268081,41.4851185,74.1334103,80.4713373,80.4713373
-8,52,-21,0.15276,3.0049,0.02018818,-48,-10,16,42,50,50
-9,72,-23.5,0.20444,3.0172,0.02015564,-49.9998065,-17.9992261,4.50111251,28.0013544,35.0014511,35.0014511
-10,92,-26,0.25613,3.0543,0.02007642,-52,-26,-7,14,20,20
-11,112,-27,0.30748,3.089,0.0190263,-50.4607314,-27.5392686,-10.5916267,8.09947042,12.3036571,12.3036571
-12,130,-28,0.3537,3.1153,0.01900658,-49.0752398,-28.9247602,-13.8244404,2.78841926,5.37619904,5.37619904
-13,150,-28,0.40499,3.14,0.02000156,-47.5377698,-30.4622302,-17.4118705,-3.10521583,-2.31115108,-2.31115108
-14,170,-27.5,0.45629,3.1541,0.02001406,-46,-32,-21,-9,-10,-10
-15,190,-26.5,0.50764,3.1791,0.02003902,-37.4968625,-25.4361745,-15.7787752,-5.41973157,-7.76233223,-9.25411074
-16,210,-25,0.55907,3.204,0.01913276,-28.9804776,-18.8621231,-10.5494161,-1.83388531,-5.52117832,-8.50705944
-17,228,-22,0.60586,3.2595,0.01923538,-21.2324386,-12.8811806,-5.79184824,1.42844692,-3.48222067,-7.82740689
-18,248,-19,0.65772,3.2982,0.02030394,-12.6448492,-6.25216431,-0.51876707,5.04427401,-1.22232874,-7.07410958
-19,268,-15,0.71002,3.3148,0.02026234,-3.98439951,0.43309511,4.79905293,8.69077915,1.05673697,-6.31442101
-20,288,-12.5,0.76171,3.3027,0.01764405,4.57503922,7.04038115,10.0548486,12.2947534,3.30922085,-5.56359305
-21,303,-10.5,0.80051,3.2695,0.01467353,11,12,14,15,5,-5
-22,317,-8,0.83698,3.2955,0.01615743,13.1527514,12.7175838,13.0432216,12.608054,0.21610809,-13.3718108
-23,335,-6,0.88342,3.2813,0.01355775,15.8940119,13.6313373,11.8248836,9.56220896,-5.87558208,-24.0322686
-24,344,-5.5,0.90653,3.2339,0.00853302,17.2581491,14.0860497,11.2186004,8.04650095,-8.9069981,-29.3372467
-25,352,-4.5,0.92721,3.2296,0.00654313,18.4788483,14.4929494,10.6760674,6.69016856,-11.6196629,-34.08441
-26,357,-4,0.94009,3.2565,0.00502494,19.239129,14.7463763,10.3381649,5.84541221,-13.3091756,-37.0410573
-27,362,-3.5,0.95298,3.2413,0.01167262,20,15,10,5,-15,-40
